                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.5871,                 3.0484,                0.90118,                0.00189,                0.79261,                0.14706,                0.09014,                 1.7603,                  4.241,                 1.4334,                0.07075,                0.00325,                0.00325
                      1,                 0.5663,                 1.8862,                0.86082,                0.00198,                0.67898,                0.11544,                0.06278,                 1.8081,                 4.1046,                 1.4437,               0.040685,              0.0065182,              0.0065182
                      2,                 0.6335,                 1.7851,                0.89296,                0.00173,                0.80966,                 0.0672,                0.03371,                 2.2394,                 4.0601,                 1.9411,               0.010554,              0.0097203,              0.0097203
                      3,                0.66245,                 1.5565,                0.89787,                0.00227,                0.74148,                0.01043,                0.00392,                 2.1955,                 4.1938,                 1.7596,               0.009703,               0.009703,               0.009703
                      4,                0.63878,                 1.4399,                0.89786,                0.00166,                 0.6875,                0.00689,                0.00366,                 2.0356,                 4.2321,                 1.9423,               0.009703,               0.009703,               0.009703
                      5,                0.59055,                 1.3505,                0.89384,                0.00191,                0.57955,                0.00448,                0.00127,                 2.6199,                 4.3144,                 2.4971,               0.009604,               0.009604,               0.009604
                      6,                0.60995,                 1.2737,                0.88964,                0.02216,                0.04545,                0.02729,                0.01292,                 2.7532,                 4.3385,                 2.2713,               0.009505,               0.009505,               0.009505
                      7,                0.58737,                  1.212,                0.90162,                0.05979,                0.02273,                0.01313,                0.00698,                  2.379,                 4.4119,                 2.0893,               0.009406,               0.009406,               0.009406
                      8,                0.56364,                 1.1148,                0.89276,                0.07532,                0.05593,                0.02944,                0.01486,                 2.5358,                 3.8374,                 2.0466,               0.009307,               0.009307,               0.009307
                      9,                0.53553,                 1.0312,                0.89116,                0.44529,                0.05398,                0.05609,                0.03559,                 2.3789,                 3.9209,                 2.0937,               0.009208,               0.009208,               0.009208
                     10,                0.52009,                0.98562,                0.88253,                0.11579,                0.02273,                0.01734,                0.00729,                 2.5618,                 4.4851,                 2.2379,               0.009109,               0.009109,               0.009109
